day_type,hour_of_day,station,departures,arrivals,net_flow
Weekday,0,"Abbey Orchard Street, Westminster",9,13,4
Weekday,0,"Abbotsbury Road, Holland Park",0,6,6
Weekday,0,"Aberdeen Place, St. John's Wood",1,2,1
Weekday,0,"Aberfeldy Street, Poplar",2,8,6
Weekday,0,"Abingdon Green, Westminster",6,6,0
Weekday,0,"Abingdon Villas, Kensington",0,3,3
Weekday,0,"Ackroyd Drive, Bow",12,27,15
Weekday,0,"Ada Street, Hackney Central",11,13,2
Weekday,0,"Addison Road, Holland Park",0,2,2
Weekday,0,"Adeline Place, Bloomsbury",12,5,-7
Weekday,0,"Agar Grove, Camden Town",4,10,6
Weekday,0,"Aintree Street, Fulham",4,14,10
Weekday,0,"Albany Street, The Regent's Park",5,17,12
Weekday,0,"Albert Bridge Road, Battersea Park",1,3,2
Weekday,0,"Albert Embankment, Vauxhall",8,6,-2
Weekday,0,"Albert Gardens, Stepney",9,35,26
Weekday,0,"Albert Gate, Hyde Park",8,4,-4
Weekday,0,"Albert Square, Stockwell",10,16,6
Weekday,0,"Albert Street, Camden Town",9,16,7
Weekday,0,"Alderney Street, Pimlico",13,10,-3
Weekday,0,"Aldersgate Street, Barbican",5,9,4
Weekday,0,"Alfreda Street, Battersea Park",6,9,3
Weekday,0,"All Saints Church, Portobello",3,8,5
Weekday,0,"All Saints' Road, Portobello",2,5,3
Weekday,0,"Allington Street, Victoria",22,6,-16
Weekday,0,"Alma Road, Wandsworth",3,6,3
Weekday,0,"Alpha Grove, Millwall",0,14,14
Weekday,0,"Ampton Street , Clerkenwell",11,10,-1
Weekday,0,"Ansell House, Stepney",17,19,2
Weekday,0,"Antill Road, Mile End",4,13,9
Weekday,0,"Aquatic Centre, Queen Elizabeth Olympic Park",18,18,0
Weekday,0,"Archbishop's Park, Waterloo",3,14,11
Weekday,0,"Argyle Street, Kings Cross",50,15,-35
Weekday,0,"Argyll Road, Kensington",5,0,-5
Weekday,0,"Arlington Road, Camden Town",1,2,1
Weekday,0,"Arundel Street, Temple",5,1,-4
Weekday,0,"Ashley Crescent, Battersea",0,4,4
Weekday,0,"Ashley Place, Victoria",11,4,-7
Weekday,0,"Ashmole Estate, Oval",3,13,10
Weekday,0,"Aston Street, Stepney",5,25,20
Weekday,0,"Austin Road, Battersea Park",2,7,5
Weekday,0,"Aylward Street, Stepney",2,27,25
Weekday,0,"BBC White City, White City",8,17,9
Weekday,0,"Baker Street, Marylebone",5,2,-3
Weekday,0,"Baldwin Street, St. Luke's",19,7,-12
Weekday,0,"Bancroft Road, Bethnal Green",4,26,22
Weekday,0,"Bank of England Museum, Bank",5,4,-1
Weekday,0,"Bankside Mix, Bankside",7,5,-2
Weekday,0,"Barbican Centre, Barbican",2,0,-2
Weekday,0,"Barons Court Station, West Kensington",10,13,3
Weekday,0,"Bath Street, St. Luke's",13,11,-2
Weekday,0,"Battersea Church Road, Battersea",1,12,11
Weekday,0,"Battersea Park Road, Nine Elms",24,46,22
Weekday,0,"Battersea Power Station, Battersea Park",19,10,-9
Weekday,0,"Baylis Road, Waterloo",41,25,-16
Weekday,0,"Bayswater Road, Hyde Park",16,14,-2
Weekday,0,"Beaumont Street, Marylebone",3,5,2
Weekday,0,"Bedford Way, Bloomsbury",6,4,-2
Weekday,0,"Belford House, Haggerston",1,10,9
Weekday,0,"Belgrave Road, Victoria",16,9,-7
Weekday,0,"Belgrave Square, Belgravia",17,3,-14
Weekday,0,"Bell Lane, Liverpool Street",27,11,-16
Weekday,0,"Bell Street , Marylebone",9,20,11
Weekday,0,"Belvedere Road 1, South Bank",14,4,-10
Weekday,0,"Belvedere Road 2, South Bank",14,4,-10
Weekday,0,"Bermondsey Station, Bermondsey",6,18,12
Weekday,0,"Bermondsey Street, Bermondsey",9,14,5
Weekday,0,"Berry Street, Clerkenwell",13,5,-8
Weekday,0,"Beryl Road, Hammersmith",21,6,-15
Weekday,0,"Bethnal Green Garden, Bethnal Green",16,15,-1
Weekday,0,"Bethnal Green Road, Shoreditch",43,13,-30
Weekday,0,"Bevington Road West, North Kensington",12,12,0
Weekday,0,"Binfield Road, Stockwell",35,24,-11
Weekday,0,"Birkenhead Street, King's Cross",30,13,-17
Weekday,0,"Bishop's Avenue, Fulham",3,8,5
Weekday,0,"Bishop's Bridge Road East, Bayswater",5,8,3
Weekday,0,"Bishop's Bridge Road West, Bayswater",10,11,1
Weekday,0,"Black Lion Gate, Kensington Gardens",0,4,4
Weekday,0,"Black Prince Road, Vauxhall",7,14,7
Weekday,0,"Blackfriars Road, Southwark",17,7,-10
Weekday,0,"Blackfriars Station, St. Paul's",9,3,-6
Weekday,0,"Blenheim Crescent, Ladbroke Grove",1,1,0
Weekday,0,"Blythe Road West, Shepherd's Bush",5,16,11
Weekday,0,"Blythe Road, Olympia",4,17,13
Weekday,0,"Bolsover Street, Fitzrovia",2,10,8
Weekday,0,"Bonner Gate, Victoria Park",6,12,6
Weekday,0,"Bonny Street, Camden Town",9,36,27
Weekday,0,"Borough High Street, The Borough",23,11,-12
Weekday,0,"Borough Road, Elephant & Castle",3,13,10
Weekday,0,"Boston Place, Marylebone",6,3,-3
Weekday,0,"Bourne Street, Belgravia",4,4,0
Weekday,0,"Bow Church Station, Bow",9,30,21
Weekday,0,"Bow Road Station, Bow",24,21,-3
Weekday,0,"Braham Street, Aldgate",24,14,-10
Weekday,0,"Bramham Gardens, Earl's Court",10,13,3
Weekday,0,"Brandon Street, Walworth",5,18,13
Weekday,0,"Breams Buildings, Holborn",2,1,-1
Weekday,0,"Brick Lane Market, Shoreditch",12,7,-5
