month,trust,region,total_attendances,type1_attendances,total_over_4hrs,type1_over_4hrs,breaches_4_to_12hr,breaches_12hr_plus
2025-04,AIREDALE NHS FOUNDATION TRUST,NHS ENGLAND NORTH EAST AND YORKSHIRE,6213,5994,2246,2246,381,116
2025-04,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,NHS ENGLAND NORTH WEST,5674,5674,804,804,1,0
2025-04,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,NHS ENGLAND SOUTH EAST,14951,6744,3789,3640,548,183
2025-04,ASHFORD WALK-IN-CENTRE,NHS ENGLAND SOUTH EAST,2333,0,49,0,0,0
2025-04,ASSURA VERTIS URGENT CARE CENTRES (BIRMINGHAM),NHS ENGLAND MIDLANDS,3148,0,0,0,0,0
2025-04,BADGER LTD,NHS ENGLAND MIDLANDS,0,0,0,0,0,0
2025-04,BARKING HOSPITAL UTC,NHS ENGLAND LONDON,2768,0,13,0,0,0
2025-04,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",NHS ENGLAND LONDON,29723,13402,6393,5899,713,795
2025-04,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,NHS ENGLAND NORTH EAST AND YORKSHIRE,8877,8877,2936,2936,439,5
2025-04,BARTS HEALTH NHS TRUST,NHS ENGLAND LONDON,44402,25265,13311,11668,1215,1148
2025-04,BECKENHAM BEACON UCC,NHS ENGLAND LONDON,3736,0,49,0,0,0
2025-04,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,NHS ENGLAND EAST OF ENGLAND,24056,16149,6626,6626,80,4
2025-04,BERKSHIRE HEALTHCARE NHS FOUNDATION TRUST,NHS ENGLAND SOUTH EAST,1472,0,10,0,0,0
2025-04,BIRMINGHAM WOMEN'S AND CHILDREN'S NHS FOUNDATION TRUST,NHS ENGLAND MIDLANDS,4837,4837,479,479,1,1
2025-04,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,NHS ENGLAND NORTH WEST,19160,8750,4281,4228,473,539
2025-04,BOLTON NHS FOUNDATION TRUST,NHS ENGLAND NORTH WEST,11786,7889,3981,3771,551,488
2025-04,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,NHS ENGLAND NORTH EAST AND YORKSHIRE,13310,8991,2270,2270,648,71
2025-04,BRANSHOLME HEALTH CENTRE,NHS ENGLAND NORTH EAST AND YORKSHIRE,3556,0,584,0,0,0
2025-04,BRIDGEWATER COMMUNITY HEALTHCARE NHS FOUNDATION TRUST,NHS ENGLAND NORTH WEST,3003,0,178,0,0,0
2025-04,BRIDLINGTON HOSPITAL,NHS ENGLAND NORTH EAST AND YORKSHIRE,1586,0,61,0,0,0
2025-04,BRIGHTON STATION HEALTH CENTRE,NHS ENGLAND SOUTH EAST,2001,0,0,0,0,0
2025-04,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,NHS ENGLAND SOUTH EAST,14764,10175,3034,2970,245,212
2025-04,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,NHS ENGLAND NORTH EAST AND YORKSHIRE,15871,15871,2746,2746,944,24
2025-04,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,NHS ENGLAND EAST OF ENGLAND,15847,10171,4221,4127,498,242
2025-04,CENTRAL LONDON COMMUNITY HEALTHCARE NHS TRUST,NHS ENGLAND LONDON,12442,0,375,0,0,0
2025-04,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,NHS ENGLAND LONDON,24960,18876,4653,4578,572,49
2025-04,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,NHS ENGLAND MIDLANDS,13085,6703,3786,3410,873,139
2025-04,CORNWALL PARTNERSHIP NHS FOUNDATION TRUST,NHS ENGLAND SOUTH WEST,0,0,0,0,0,0
2025-04,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,NHS ENGLAND NORTH WEST,7455,5079,2974,2712,234,709
2025-04,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,NHS ENGLAND NORTH EAST AND YORKSHIRE,17173,12948,5194,5194,1927,12
2025-04,COVENTRY AND WARWICKSHIRE PARTNERSHIP NHS TRUST,NHS ENGLAND MIDLANDS,0,0,0,0,0,0
2025-04,CROYDON HEALTH SERVICES NHS TRUST,NHS ENGLAND LONDON,17535,12685,3660,3660,295,538
2025-04,DARTFORD AND GRAVESHAM NHS TRUST,NHS ENGLAND SOUTH EAST,15145,11082,3933,3911,458,525
2025-04,DERBYSHIRE COMMUNITY HEALTH SERVICES NHS FOUNDATION TRUST,NHS ENGLAND MIDLANDS,8013,0,168,0,0,0
2025-04,DHU HEALTH CARE C.I.C,NHS ENGLAND MIDLANDS,1994,0,0,0,0,0
2025-04,DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST,NHS ENGLAND NORTH EAST AND YORKSHIRE,17990,13769,4758,4725,1050,65
2025-04,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,NHS ENGLAND SOUTH WEST,4319,4319,1549,1549,201,25
2025-04,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,NHS ENGLAND SOUTH WEST,0,0,0,0,0,0
2025-04,EAST AND NORTH HERTFORDSHIRE NHS TRUST,NHS ENGLAND EAST OF ENGLAND,17103,8663,4595,4563,127,116
2025-04,EAST BERKS PRIMARY CARE OOH(WAM),NHS ENGLAND SOUTH EAST,0,0,0,0,0,0
2025-04,EAST CHESHIRE NHS TRUST,NHS ENGLAND NORTH WEST,4406,4406,2314,2314,163,278
2025-04,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,NHS ENGLAND SOUTH EAST,24686,12301,5883,5640,449,1256
2025-04,EAST LANCASHIRE HOSPITALS NHS TRUST,NHS ENGLAND NORTH WEST,23684,13049,4637,4198,643,814
2025-04,EAST RIDING COMMUNITY HOSPITAL,NHS ENGLAND NORTH EAST AND YORKSHIRE,3043,0,231,0,0,0
2025-04,EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,NHS ENGLAND EAST OF ENGLAND,24867,11291,5782,5453,1139,589
2025-04,EAST SUSSEX HEALTHCARE NHS TRUST,NHS ENGLAND SOUTH EAST,10488,7497,3221,3155,191,7
2025-04,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,NHS ENGLAND LONDON,12655,10804,3369,3246,266,700
2025-04,ERDINGTON GP HEALTH & WELLBEING WIC,NHS ENGLAND MIDLANDS,0,0,0,0,0,0
2025-04,FIRST COMMUNITY HEALTH AND CARE CIC,NHS ENGLAND SOUTH EAST,2350,0,0,0,0,0
2025-04,FRIMLEY HEALTH NHS FOUNDATION TRUST,NHS ENGLAND SOUTH EAST,34112,21751,9953,9653,1563,129
2025-04,GATESHEAD HEALTH NHS FOUNDATION TRUST,NHS ENGLAND NORTH EAST AND YORKSHIRE,9832,5888,2696,2646,796,0
2025-04,GEORGE ELIOT HOSPITAL NHS TRUST,NHS ENGLAND MIDLANDS,8478,6867,2335,2312,401,307
2025-04,GLOUCESTERSHIRE HEALTH AND CARE NHS FOUNDATION TRUST,NHS ENGLAND SOUTH WEST,8409,0,170,0,0,0
2025-04,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,NHS ENGLAND SOUTH WEST,13095,13095,5171,5171,412,461
2025-04,GOOLE & DISTRICT HOSPITAL,NHS ENGLAND NORTH EAST AND YORKSHIRE,1675,0,7,0,0,0
2025-04,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,NHS ENGLAND SOUTH WEST,11033,5552,3354,2911,540,342
2025-04,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,NHS ENGLAND LONDON,17442,9921,3966,3744,98,64
2025-04,HAMPSHIRE AND ISLE OF WIGHT HEALTHCARE NHS FOUNDATION TRUST,NHS ENGLAND SOUTH EAST,2866,0,70,0,0,0
2025-04,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,NHS ENGLAND SOUTH EAST,14228,10837,5000,4897,261,54
2025-04,HAROLD WOOD POLYCLINIC UTC,NHS ENGLAND LONDON,2491,0,10,0,0,0
2025-04,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,NHS ENGLAND NORTH EAST AND YORKSHIRE,5887,4918,1082,1081,185,2
2025-04,HERTFORDSHIRE COMMUNITY NHS TRUST,NHS ENGLAND EAST OF ENGLAND,1182,0,37,0,0,0
2025-04,HERTS URGENT CARE (ASCOTS LANE),NHS ENGLAND EAST OF ENGLAND,2137,0,83,0,0,0
2025-04,HOMERTON HEALTHCARE NHS FOUNDATION TRUST,NHS ENGLAND LONDON,10777,10777,1940,1940,198,24
2025-04,HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST,NHS ENGLAND NORTH EAST AND YORKSHIRE,13767,9122,6010,5265,1037,506
2025-04,HUMBER TEACHING NHS FOUNDATION TRUST,NHS ENGLAND NORTH EAST AND YORKSHIRE,1134,0,0,0,0,0
2025-04,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,NHS ENGLAND LONDON,22785,11832,5745,5046,680,390
2025-04,ISLE OF WIGHT NHS TRUST,NHS ENGLAND SOUTH EAST,6149,4279,1845,1845,317,132
2025-04,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,NHS ENGLAND EAST OF ENGLAND,8818,7431,3244,3244,615,344
2025-04,KENT COMMUNITY HEALTH NHS FOUNDATION TRUST,NHS ENGLAND SOUTH EAST,9195,0,31,0,0,0
2025-04,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,NHS ENGLAND MIDLANDS,18207,9774,3878,3753,562,815
2025-04,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,NHS ENGLAND LONDON,24461,15261,6884,6420,1693,583
2025-04,KINGSTON AND RICHMOND NHS FOUNDATION TRUST,NHS ENGLAND LONDON,15151,6646,3608,3351,135,504
2025-04,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,NHS ENGLAND NORTH WEST,15143,11684,4522,4328,948,435
2025-04,LATHAM HOUSE MEDICAL PRACTICE,NHS ENGLAND MIDLANDS,338,0,0,0,0,0
2025-04,LEEDS TEACHING HOSPITALS NHS TRUST,NHS ENGLAND NORTH EAST AND YORKSHIRE,29830,17114,7208,6974,1740,275
2025-04,LEWISHAM AND GREENWICH NHS TRUST,NHS ENGLAND LONDON,24609,15481,8500,8235,1279,778
2025-04,LINCOLNSHIRE COMMUNITY HEALTH SERVICES NHS TRUST,NHS ENGLAND MIDLANDS,8540,0,187,0,0,0
2025-04,LIVERPOOL HEART AND CHEST HOSPITAL NHS FOUNDATION TRUST,NHS ENGLAND NORTH WEST,0,0,0,0,0,0
2025-04,LIVERPOOL UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,NHS ENGLAND NORTH WEST,25192,15728,8370,8092,1799,818
2025-04,LIVERPOOL WOMEN'S NHS FOUNDATION TRUST,NHS ENGLAND NORTH WEST,1416,0,168,0,0,0
2025-04,LLR EA - THE MERLYN VAZ HEALTH & SOCIAL CARE CENTRE,NHS ENGLAND MIDLANDS,164,0,0,0,0,0
2025-04,LOCAL CARE DIRECT,NHS ENGLAND NORTH EAST AND YORKSHIRE,2226,0,9,0,0,0
2025-04,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,NHS ENGLAND LONDON,28542,13592,6662,6467,666,385
2025-04,LOUGHBOROUGH URGENT CARE CENTRE,NHS ENGLAND MIDLANDS,5168,0,24,0,0,0
2025-04,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,NHS ENGLAND SOUTH EAST,20268,17983,3747,3733,926,185
2025-04,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,NHS ENGLAND NORTH WEST,38718,24296,11374,10628,3597,101
2025-04,MARKET HARBOROUGH,NHS ENGLAND MIDLANDS,112,0,0,0,0,0
