month,state,category,orders,revenue_brl,avg_delivery_days,avg_review_score
2016-09-01,SP,health_beauty,1,143.46,55.0,1.0
2016-10-01,AL,auto,1,76.6,33.0,4.0
2016-10-01,BA,fashion_bags_accessories,1,75.84,31.0,4.0
2016-10-01,BA,housewares,1,204.38,23.0,4.0
2016-10-01,BA,telephony,1,40.79,9.0,5.0
2016-10-01,CE,auto,1,594.46,70.0,5.0
2016-10-01,CE,consoles_games,1,661.75,19.0,5.0
2016-10-01,CE,furniture_decor,1,149.39,19.0,5.0
2016-10-01,CE,health_beauty,1,116.89,22.0,5.0
2016-10-01,CE,perfumery,2,362.89,17.0,4.5
2016-10-01,DF,computers_accessories,1,51.05,11.0,1.0
2016-10-01,DF,furniture_decor,1,143.4,7.0,1.0
2016-10-01,DF,health_beauty,1,155.2,45.0,3.0
2016-10-01,DF,perfumery,1,55.95,41.0,4.0
2016-10-01,DF,toys,1,123.2,13.0,5.0
2016-10-01,DF,watches_gifts,1,671.31,21.0,5.0
2016-10-01,ES,cool_stuff,1,89.16,9.0,5.0
2016-10-01,ES,health_beauty,1,119.43,24.0,4.0
2016-10-01,ES,office_furniture,1,783.22,41.0,3.0
2016-10-01,GO,furniture_decor,1,74.15,8.0,3.0
2016-10-01,GO,health_beauty,1,68.72,8.0,5.0
2016-10-01,GO,perfumery,2,631.92,7.5,5.0
2016-10-01,GO,sports_leisure,1,65.7,20.0,5.0
2016-10-01,GO,toys,2,215.63,24.5,5.0
2016-10-01,MA,housewares,1,44.74,20.0,4.0
2016-10-01,MA,market_place,1,625.2,21.0,5.0
2016-10-01,MA,office_furniture,1,264.08,65.0,
2016-10-01,MA,sports_leisure,1,64.83,7.0,5.0
2016-10-01,MG,air_conditioning,1,319.0,22.0,1.0
2016-10-01,MG,auto,1,66.03,23.0,1.0
2016-10-01,MG,baby,1,217.3,32.0,5.0
2016-10-01,MG,bed_bath_table,1,184.87,43.0,5.0
2016-10-01,MG,computers_accessories,2,177.68,10.5,5.0
2016-10-01,MG,cool_stuff,1,63.72,12.0,4.0
2016-10-01,MG,fashio_female_clothing,1,69.63,26.0,5.0
2016-10-01,MG,fashion_bags_accessories,1,91.07,20.0,5.0
2016-10-01,MG,furniture_decor,6,735.07,20.3,4.64
2016-10-01,MG,garden_tools,1,419.06,8.0,1.0
2016-10-01,MG,health_beauty,6,751.44,19.3,4.14
2016-10-01,MG,housewares,1,60.52,10.0,4.0
2016-10-01,MG,market_place,1,72.6,11.0,5.0
2016-10-01,MG,office_furniture,1,159.35,32.0,1.0
2016-10-01,MG,perfumery,3,433.48,19.3,4.33
2016-10-01,MG,sports_leisure,1,173.4,27.0,1.0
2016-10-01,MG,telephony,2,143.26,18.0,3.67
2016-10-01,MG,toys,4,980.74,18.3,3.5
2016-10-01,MT,furniture_decor,1,101.44,7.0,5.0
2016-10-01,PA,cool_stuff,1,121.01,34.0,5.0
2016-10-01,PA,furniture_decor,2,498.15,32.8,3.5
2016-10-01,PA,toys,1,663.93,9.0,4.0
2016-10-01,PB,toys,1,74.74,37.0,5.0
2016-10-01,PE,computers_accessories,1,95.58,11.0,1.0
2016-10-01,PE,furniture_decor,1,76.51,16.0,5.0
2016-10-01,PE,health_beauty,1,102.69,18.0,5.0
2016-10-01,PE,perfumery,1,273.77,30.0,5.0
2016-10-01,PE,sports_leisure,2,995.4,16.5,5.0
2016-10-01,PI,health_beauty,1,246.09,27.0,4.0
2016-10-01,PR,baby,1,108.84,35.0,4.0
2016-10-01,PR,bed_bath_table,2,302.11,9.6,2.6
2016-10-01,PR,computers_accessories,1,58.41,12.0,5.0
2016-10-01,PR,fashion_bags_accessories,1,95.66,7.0,2.0
2016-10-01,PR,furniture_decor,7,1200.95,12.2,3.1
2016-10-01,PR,garden_tools,1,156.22,8.0,5.0
2016-10-01,PR,health_beauty,6,406.97,20.8,4.17
2016-10-01,PR,market_place,1,112.52,28.0,5.0
2016-10-01,PR,sports_leisure,1,33.42,18.0,4.0
2016-10-01,RJ,(unknown),1,30.42,20.0,5.0
2016-10-01,RJ,audio,1,147.08,13.0,5.0
2016-10-01,RJ,auto,1,24.52,23.0,5.0
2016-10-01,RJ,baby,3,655.47,11.7,3.33
2016-10-01,RJ,bed_bath_table,1,74.59,21.0,5.0
2016-10-01,RJ,computers_accessories,1,33.52,22.0,3.0
2016-10-01,RJ,consoles_games,2,1045.02,30.5,4.0
2016-10-01,RJ,cool_stuff,2,270.01,24.0,3.0
2016-10-01,RJ,diapers_and_hygiene,1,150.99,31.0,5.0
2016-10-01,RJ,fixed_telephony,1,20.11,45.0,4.0
2016-10-01,RJ,furniture_decor,5,460.53,19.8,4.0
2016-10-01,RJ,garden_tools,1,611.56,8.0,5.0
2016-10-01,RJ,health_beauty,4,849.44,27.6,2.4
2016-10-01,RJ,housewares,1,48.55,7.0,5.0
2016-10-01,RJ,perfumery,6,1548.3,16.0,3.5
2016-10-01,RJ,pet_shop,1,127.86,21.0,4.0
