threshold,policy,good_approved,bad_approved,good_rejected,bad_rejected,pct_defaults_caught,pct_good_rejected,net_value
0.0,Approve everyone,41992,3008,0,0,0.0,0.0,5077600
0.02,Reject if risk >= 2%,12865,85,29127,2923,97.2,69.4,3647000
0.05,Reject if risk >= 5%,29994,539,11998,2469,82.1,28.6,7650700
0.08,Reject if risk >= 8%,34843,880,7149,2128,70.7,17.0,8252900
0.1,Reject if risk >= 10%,36778,1087,5214,1921,63.9,12.4,8315900
0.12,Reject if risk >= 12%,38224,1303,3768,1705,56.7,9.0,8209700
0.15,Reject if risk >= 15%,39667,1518,2325,1490,49.5,5.5,8105100
0.2,Reject if risk >= 20%,40546,1834,1446,1174,39.0,3.4,7578800
0.3,Reject if risk >= 30%,41192,2178,800,830,27.6,1.9,6912600
0.5,Reject if risk >= 50%,41676,2557,316,451,15.0,0.8,6110300
