borrower_id,age,revolving_utilization,late_30_59_days,late_60_89_days,late_90_plus_days,debt_ratio,monthly_income,open_credit_lines,real_estate_loans,dependents,income_missing,predicted_risk,risk_band,serious_delinquency,actual_outcome
31295,50,0.0,0,1,1,0.087,9830.0,6,0,0.0,0,0.0395,2-5%,1,Defaulted
19311,76,0.092,0,0,0,0.106,4700.0,9,1,0.0,0,0.0151,0-2%,0,Repaid
112801,63,0.789,1,0,0,0.188,5300.0,17,0,0.0,0,0.1075,10-12%,0,Repaid
65253,75,0.001,1,0,0,10.0,5400.0,11,1,0.0,1,0.0189,0-2%,0,Repaid
120438,58,0.023,0,0,0,0.37,17600.0,17,2,0.0,0,0.0172,0-2%,1,Defaulted
19182,64,0.141,0,0,0,0.204,3000.0,4,0,0.0,0,0.0168,0-2%,0,Repaid
85959,27,0.09,0,0,0,0.078,4432.0,12,0,0.0,0,0.0337,2-5%,0,Repaid
130582,52,0.429,0,0,0,0.689,3333.0,25,1,1.0,0,0.0693,5-8%,0,Repaid
136703,62,0.0,3,0,0,10.0,5400.0,8,1,0.0,1,0.0487,2-5%,0,Repaid
149349,63,0.038,0,0,0,0.143,4300.0,11,1,0.0,0,0.0182,0-2%,0,Repaid
91204,28,1.073,4,3,1,0.34,2803.0,12,0,0.0,0,0.8845,50%+,1,Defaulted
20655,58,0.151,1,0,0,0.65,6000.0,11,3,0.0,0,0.0412,2-5%,0,Repaid
119072,47,0.865,0,0,0,0.705,2666.0,5,1,0.0,0,0.0884,8-10%,0,Repaid
11475,40,0.304,0,0,0,0.493,4900.0,10,1,1.0,0,0.0425,2-5%,0,Repaid
141831,42,0.015,0,1,0,0.185,10000.0,7,1,1.0,0,0.0291,2-5%,0,Repaid
8872,38,0.594,0,0,0,10.0,5400.0,5,1,2.0,1,0.0599,5-8%,0,Repaid
61499,47,0.48,0,0,0,10.0,5400.0,11,2,3.0,1,0.0573,5-8%,0,Repaid
78761,33,0.882,0,0,0,0.937,4400.0,8,2,0.0,0,0.125,12-15%,0,Repaid
81557,39,0.014,0,0,0,0.343,6500.0,18,1,0.0,0,0.0296,2-5%,0,Repaid
89537,30,0.995,1,0,0,0.194,3939.0,5,0,0.0,0,0.181,15-20%,0,Repaid
32834,49,0.319,1,0,0,0.345,5163.0,10,1,2.0,0,0.0592,5-8%,0,Repaid
23011,85,0.012,0,0,0,0.007,4200.0,10,0,0.0,0,0.0109,0-2%,0,Repaid
8529,44,0.373,0,0,0,10.0,5400.0,8,0,0.0,1,0.0337,2-5%,0,Repaid
59996,51,1.0,0,0,0,0.0,5400.0,1,0,2.0,1,0.0784,5-8%,0,Repaid
127379,44,0.001,0,0,0,0.765,4600.0,5,2,0.0,0,0.021,2-5%,0,Repaid
17098,65,0.0,0,0,0,0.0,4166.0,6,0,0.0,0,0.0131,0-2%,0,Repaid
63631,40,0.07,0,0,0,0.037,3200.0,10,0,2.0,0,0.0284,2-5%,1,Defaulted
75545,55,0.13,0,0,0,0.506,16000.0,19,5,2.0,0,0.0341,2-5%,0,Repaid
41383,74,0.071,0,0,0,10.0,5400.0,6,1,0.0,1,0.0124,0-2%,0,Repaid
99716,66,0.035,0,0,0,10.0,5400.0,3,0,1.0,1,0.0117,0-2%,0,Repaid
137953,51,0.167,0,0,0,0.239,4200.0,10,0,0.0,0,0.025,2-5%,0,Repaid
56288,47,0.099,0,0,0,0.193,10000.0,9,4,1.0,0,0.0285,2-5%,0,Repaid
109026,55,0.106,0,0,0,0.302,18000.0,5,2,0.0,0,0.0146,0-2%,0,Repaid
137342,24,0.103,0,0,0,0.001,3000.0,1,0,0.0,0,0.0274,2-5%,0,Repaid
53417,54,0.029,0,0,0,0.125,1141.0,6,0,2.0,0,0.0199,0-2%,0,Repaid
69771,42,0.004,0,0,0,0.38,11250.0,6,2,2.0,0,0.0206,2-5%,0,Repaid
138253,43,0.0,0,0,0,0.403,10269.0,4,1,3.0,0,0.0189,0-2%,0,Repaid
148142,47,0.42,2,0,0,0.444,8750.0,10,1,1.0,0,0.0935,8-10%,0,Repaid
140473,32,0.894,1,0,0,0.656,3350.0,8,1,1.0,0,0.1847,15-20%,0,Repaid
34650,39,0.273,0,0,0,0.223,5046.0,10,1,0.0,0,0.0387,2-5%,0,Repaid
136664,32,0.965,0,2,0,0.765,1750.0,5,1,1.0,0,0.2656,20-30%,1,Defaulted
146635,53,0.518,0,1,0,0.522,10917.0,7,3,3.0,0,0.0745,5-8%,1,Defaulted
81589,62,0.55,0,0,0,0.734,2500.0,6,1,0.0,0,0.0421,2-5%,0,Repaid
28038,53,1.0,0,0,0,1.0,5400.0,7,0,2.0,1,0.0897,8-10%,0,Repaid
2756,55,1.0,0,0,0,0.0,5400.0,1,0,0.0,1,0.0671,5-8%,0,Repaid
79656,44,0.056,0,0,0,0.099,3903.0,4,0,3.0,0,0.0225,2-5%,0,Repaid
87215,56,0.019,0,0,0,0.291,10833.0,6,2,0.0,0,0.0155,0-2%,0,Repaid
108977,64,1.0,0,0,0,0.188,16894.0,4,2,0.0,0,0.0621,5-8%,0,Repaid
7564,42,0.122,0,0,0,0.267,4577.0,12,1,0.0,0,0.0303,2-5%,0,Repaid
74053,58,0.26,0,0,0,0.525,3750.0,12,1,4.0,0,0.0374,2-5%,0,Repaid
5550,32,0.572,0,0,3,0.077,3200.0,5,0,0.0,0,0.3069,30-50%,0,Repaid
139359,80,0.01,0,0,0,7.0,5400.0,1,0,0.0,1,0.0079,0-2%,0,Repaid
107863,69,0.221,1,0,0,0.33,8000.0,3,1,0.0,0,0.025,2-5%,0,Repaid
18527,21,1.0,5,5,5,0.0,5400.0,0,0,0.0,1,0.9947,50%+,0,Repaid
124500,38,0.171,0,0,0,0.25,5000.0,5,1,0.0,0,0.0286,2-5%,0,Repaid
25194,53,0.198,0,0,0,0.533,5696.0,10,1,0.0,0,0.0267,2-5%,0,Repaid
123150,69,0.017,0,0,0,0.006,7155.0,8,0,0.0,0,0.0124,0-2%,0,Repaid
29363,79,0.132,0,0,0,0.441,2785.0,19,2,0.0,0,0.0238,2-5%,0,Repaid
117804,38,1.0,0,0,0,0.172,2100.0,2,0,0.0,0,0.1096,10-12%,0,Repaid
25976,53,0.026,0,0,0,0.517,6233.0,6,2,4.0,0,0.0228,2-5%,0,Repaid
68869,61,0.057,0,0,0,0.366,4083.0,21,1,0.0,0,0.0261,2-5%,0,Repaid
59488,25,0.199,0,0,0,0.245,2400.0,4,0,0.0,0,0.0355,2-5%,0,Repaid
93719,67,0.363,3,0,0,0.294,7000.0,17,1,0.0,0,0.1115,10-12%,0,Repaid
90892,73,0.018,0,0,0,0.013,2000.0,4,0,0.0,0,0.0119,0-2%,0,Repaid
42661,46,0.02,0,0,0,0.203,2200.0,7,0,0.0,0,0.0202,2-5%,0,Repaid
