month,utm_source,utm_campaign,device_type,visitor_type,sessions,sessions_reached_product,sessions_reached_cart,sessions_reached_shipping,sessions_reached_billing,orders,revenue_usd
2012-03-01,(none),(none),desktop,New,8,5,2,2,2,0,NULL
2012-03-01,(none),(none),desktop,Returning,3,3,2,2,1,0,NULL
2012-03-01,(none),(none),mobile,New,5,4,0,0,0,0,NULL
2012-03-01,(none),(none),mobile,Returning,1,1,0,0,0,0,NULL
2012-03-01,bsearch,brand,desktop,New,1,0,0,0,0,0,NULL
2012-03-01,bsearch,brand,mobile,Returning,1,0,0,0,0,0,NULL
2012-03-01,gsearch,brand,desktop,New,3,1,0,0,0,0,NULL
2012-03-01,gsearch,brand,desktop,Returning,2,2,0,0,0,0,NULL
2012-03-01,gsearch,brand,mobile,New,2,0,0,0,0,0,NULL
2012-03-01,gsearch,brand,mobile,Returning,1,1,0,0,0,0,NULL
2012-03-01,gsearch,nonbrand,desktop,New,1126,510,168,125,101,50,2499.50
2012-03-01,gsearch,nonbrand,mobile,New,724,214,56,27,19,10,499.90
2012-04-01,(none),(none),desktop,New,32,17,3,2,2,0,NULL
2012-04-01,(none),(none),desktop,Returning,61,41,12,10,8,4,199.96
2012-04-01,(none),(none),mobile,New,19,7,2,2,2,0,NULL
2012-04-01,(none),(none),mobile,Returning,37,18,6,5,5,3,149.97
2012-04-01,bsearch,brand,desktop,New,4,2,1,0,0,0,NULL
2012-04-01,bsearch,brand,desktop,Returning,7,6,1,1,1,0,NULL
2012-04-01,gsearch,brand,desktop,New,11,7,3,2,2,1,49.99
2012-04-01,gsearch,brand,desktop,Returning,31,16,7,4,4,4,199.96
2012-04-01,gsearch,brand,mobile,New,9,4,2,1,0,0,NULL
2012-04-01,gsearch,brand,mobile,Returning,14,8,2,1,1,1,49.99
2012-04-01,gsearch,nonbrand,desktop,New,2137,944,310,210,179,75,3749.25
2012-04-01,gsearch,nonbrand,mobile,New,1370,378,88,48,28,11,549.89
2012-05-01,(none),(none),desktop,New,40,22,7,5,2,1,49.99
2012-05-01,(none),(none),desktop,Returning,143,108,31,20,20,8,399.92
2012-05-01,(none),(none),mobile,New,22,9,2,1,1,0,NULL
2012-05-01,(none),(none),mobile,Returning,96,54,15,8,7,2,99.98
2012-05-01,bsearch,brand,desktop,New,5,3,0,0,0,0,NULL
2012-05-01,bsearch,brand,desktop,Returning,19,16,5,4,2,0,NULL
2012-05-01,bsearch,brand,mobile,Returning,1,1,1,1,0,0,NULL
2012-05-01,gsearch,brand,desktop,New,16,12,1,1,1,1,49.99
2012-05-01,gsearch,brand,desktop,Returning,55,36,15,10,8,3,149.97
2012-05-01,gsearch,brand,mobile,New,8,2,1,1,1,0,NULL
2012-05-01,gsearch,brand,mobile,Returning,35,19,4,2,2,2,99.98
2012-05-01,gsearch,nonbrand,desktop,New,2275,1007,328,221,185,83,4149.17
2012-05-01,gsearch,nonbrand,mobile,New,1019,294,66,39,31,8,399.92
2012-06-01,(none),(none),desktop,New,51,35,11,8,6,5,249.95
2012-06-01,(none),(none),desktop,Returning,178,133,46,30,27,12,599.88
2012-06-01,(none),(none),mobile,New,29,10,3,1,0,0,NULL
